DataExtractDate,ReportPeriod,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
2014-05-01T00:00:00.000,2006-08-01T00:00:00.000,Commuter,Arrival,Domestic,6134
2014-05-01T00:00:00.000,2006-08-01T00:00:00.000,Commuter,Arrival,International,40
2014-05-01T00:00:00.000,2006-08-01T00:00:00.000,Commuter,Departure,Domestic,6134
2014-05-01T00:00:00.000,2006-08-01T00:00:00.000,Commuter,Departure,International,40
2014-05-01T00:00:00.000,2006-08-01T00:00:00.000,Scheduled,Arrival,Domestic,15243
2014-05-01T00:00:00.000,2006-08-01T00:00:00.000,Scheduled,Arrival,International,4303
2014-05-01T00:00:00.000,2006-08-01T00:00:00.000,Scheduled,Departure,Domestic,15272
2014-05-01T00:00:00.000,2006-08-01T00:00:00.000,Scheduled,Departure,International,4328
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Charter,Arrival,Domestic,24
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Charter,Arrival,International,1
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Charter,Departure,Domestic,18
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Commuter,Arrival,Domestic,5903
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Commuter,Arrival,International,37
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Commuter,Departure,Domestic,5903
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Commuter,Departure,International,37
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Scheduled,Arrival,Domestic,13832
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Scheduled,Arrival,International,3823
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Scheduled,Departure,Domestic,13815
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Scheduled,Departure,International,3865
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Charter,Arrival,Domestic,48
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Charter,Arrival,International,285
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Charter,Departure,Domestic,50
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Commuter,Arrival,Domestic,6135
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Commuter,Arrival,International,40
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Commuter,Departure,Domestic,6135
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Commuter,Departure,International,40
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Scheduled,Arrival,Domestic,14292
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Scheduled,Arrival,International,3605
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Scheduled,Departure,Domestic,14332
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Scheduled,Departure,International,3898
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Charter,Arrival,Domestic,48
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Charter,Arrival,International,3
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Charter,Departure,Domestic,50
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Charter,Departure,International,2
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Commuter,Arrival,Domestic,5772
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Commuter,Arrival,International,39
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Commuter,Departure,Domestic,5772
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Commuter,Departure,International,39
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Scheduled,Arrival,Domestic,13855
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Scheduled,Arrival,International,3706
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Scheduled,Departure,Domestic,13855
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Scheduled,Departure,International,3718
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Charter,Arrival,Domestic,46
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Charter,Arrival,International,6
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Charter,Departure,Domestic,44
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Charter,Departure,International,3
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Commuter,Arrival,Domestic,6144
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Commuter,Arrival,International,40
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Commuter,Departure,Domestic,6144
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Commuter,Departure,International,40
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Scheduled,Arrival,Domestic,14417
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Scheduled,Arrival,International,4086
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Scheduled,Departure,Domestic,14474
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Scheduled,Departure,International,4103
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Charter,Arrival,Domestic,38
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Charter,Arrival,International,3
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Charter,Departure,Domestic,42
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Charter,Departure,International,3
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Commuter,Arrival,Domestic,6081
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Commuter,Arrival,International,94
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Commuter,Departure,Domestic,6081
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Commuter,Departure,International,94
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Scheduled,Arrival,Domestic,14140
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Scheduled,Arrival,International,4301
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Scheduled,Departure,Domestic,14165
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Scheduled,Departure,International,4308
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Charter,Arrival,Domestic,14
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Charter,Arrival,International,7
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Charter,Departure,Domestic,16
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Charter,Departure,International,5
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Commuter,Arrival,Domestic,5470
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Commuter,Arrival,International,83
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Commuter,Departure,Domestic,5470
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Commuter,Departure,International,83
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Scheduled,Arrival,Domestic,12734
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Scheduled,Arrival,International,3779
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Scheduled,Departure,Domestic,12768
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Scheduled,Departure,International,3783
2014-05-01T00:00:00.000,2007-03-01T00:00:00.000,Charter,Arrival,Domestic,33
2014-05-01T00:00:00.000,2007-03-01T00:00:00.000,Charter,Arrival,International,4
2014-05-01T00:00:00.000,2007-03-01T00:00:00.000,Charter,Departure,Domestic,33
2014-05-01T00:00:00.000,2007-03-01T00:00:00.000,Charter,Departure,International,4
2014-05-01T00:00:00.000,2007-03-01T00:00:00.000,Commuter,Arrival,Domestic,6105
2014-05-01T00:00:00.000,2007-03-01T00:00:00.000,Commuter,Arrival,International,93
2014-05-01T00:00:00.000,2007-03-01T00:00:00.000,Commuter,Departure,Domestic,6105
2014-05-01T00:00:00.000,2007-03-01T00:00:00.000,Commuter,Departure,International,93
2014-05-01T00:00:00.000,2007-03-01T00:00:00.000,Scheduled,Arrival,Domestic,14736
2014-05-01T00:00:00.000,2007-03-01T00:00:00.000,Scheduled,Arrival,International,4098
2014-05-01T00:00:00.000,2007-03-01T00:00:00.000,Scheduled,Departure,Domestic,14830
2014-05-01T00:00:00.000,2007-03-01T00:00:00.000,Scheduled,Departure,International,4100
2014-05-01T00:00:00.000,2007-04-01T00:00:00.000,Charter,Arrival,Domestic,26
2014-05-01T00:00:00.000,2007-04-01T00:00:00.000,Charter,Arrival,International,2
2014-05-01T00:00:00.000,2007-04-01T00:00:00.000,Charter,Departure,Domestic,24
2014-05-01T00:00:00.000,2007-04-01T00:00:00.000,Commuter,Arrival,Domestic,5711
2014-05-01T00:00:00.000,2007-04-01T00:00:00.000,Commuter,Arrival,International,89
2014-05-01T00:00:00.000,2007-04-01T00:00:00.000,Commuter,Departure,Domestic,5711
2014-05-01T00:00:00.000,2007-04-01T00:00:00.000,Commuter,Departure,International,89
2014-05-01T00:00:00.000,2007-04-01T00:00:00.000,Scheduled,Arrival,Domestic,14132
2014-05-01T00:00:00.000,2007-04-01T00:00:00.000,Scheduled,Arrival,International,4070
2014-05-01T00:00:00.000,2007-04-01T00:00:00.000,Scheduled,Departure,Domestic,14192
2014-05-01T00:00:00.000,2007-04-01T00:00:00.000,Scheduled,Departure,International,4085
2014-05-01T00:00:00.000,2007-05-01T00:00:00.000,Charter,Arrival,Domestic,12
2014-05-01T00:00:00.000,2007-05-01T00:00:00.000,Charter,Arrival,International,1
2014-05-01T00:00:00.000,2007-05-01T00:00:00.000,Charter,Departure,Domestic,13
2014-05-01T00:00:00.000,2007-05-01T00:00:00.000,Charter,Departure,International,2
2014-05-01T00:00:00.000,2007-05-01T00:00:00.000,Commuter,Arrival,Domestic,5752
2014-05-01T00:00:00.000,2007-05-01T00:00:00.000,Commuter,Arrival,International,93
2014-05-01T00:00:00.000,2007-05-01T00:00:00.000,Commuter,Departure,Domestic,5747
2014-05-01T00:00:00.000,2007-05-01T00:00:00.000,Commuter,Departure,International,93
2014-05-01T00:00:00.000,2007-05-01T00:00:00.000,Scheduled,Arrival,Domestic,14737
2014-05-01T00:00:00.000,2007-05-01T00:00:00.000,Scheduled,Arrival,International,4104
2014-05-01T00:00:00.000,2007-05-01T00:00:00.000,Scheduled,Departure,Domestic,14792
2014-05-01T00:00:00.000,2007-05-01T00:00:00.000,Scheduled,Departure,International,4117
2014-05-01T00:00:00.000,2007-06-01T00:00:00.000,Charter,Arrival,Domestic,12
2014-05-01T00:00:00.000,2007-06-01T00:00:00.000,Charter,Arrival,International,1
2014-05-01T00:00:00.000,2007-06-01T00:00:00.000,Charter,Departure,Domestic,9
2014-05-01T00:00:00.000,2007-06-01T00:00:00.000,Commuter,Arrival,Domestic,5673
2014-05-01T00:00:00.000,2007-06-01T00:00:00.000,Commuter,Arrival,International,90
2014-05-01T00:00:00.000,2007-06-01T00:00:00.000,Commuter,Departure,Domestic,5673
2014-05-01T00:00:00.000,2007-06-01T00:00:00.000,Commuter,Departure,International,90
2014-05-01T00:00:00.000,2007-06-01T00:00:00.000,Scheduled,Arrival,Domestic,14828
2014-05-01T00:00:00.000,2007-06-01T00:00:00.000,Scheduled,Arrival,International,4232
2014-05-01T00:00:00.000,2007-06-01T00:00:00.000,Scheduled,Departure,Domestic,14896
2014-05-01T00:00:00.000,2007-06-01T00:00:00.000,Scheduled,Departure,International,4268
2014-05-01T00:00:00.000,2007-07-01T00:00:00.000,Charter,Arrival,Domestic,21
2014-05-01T00:00:00.000,2007-07-01T00:00:00.000,Charter,Arrival,International,1
2014-05-01T00:00:00.000,2007-07-01T00:00:00.000,Charter,Departure,Domestic,18
2014-05-01T00:00:00.000,2007-07-01T00:00:00.000,Charter,Departure,International,1
2014-05-01T00:00:00.000,2007-07-01T00:00:00.000,Commuter,Arrival,Domestic,5898
2014-05-01T00:00:00.000,2007-07-01T00:00:00.000,Commuter,Arrival,International,93
2014-05-01T00:00:00.000,2007-07-01T00:00:00.000,Commuter,Departure,Domestic,5898
2014-05-01T00:00:00.000,2007-07-01T00:00:00.000,Commuter,Departure,International,93
2014-05-01T00:00:00.000,2007-07-01T00:00:00.000,Scheduled,Arrival,Domestic,16200
2014-05-01T00:00:00.000,2007-07-01T00:00:00.000,Scheduled,Arrival,International,4729
2014-05-01T00:00:00.000,2007-07-01T00:00:00.000,Scheduled,Departure,Domestic,16319
2014-05-01T00:00:00.000,2007-07-01T00:00:00.000,Scheduled,Departure,International,4769
2014-05-01T00:00:00.000,2007-08-01T00:00:00.000,Charter,Arrival,Domestic,7
2014-05-01T00:00:00.000,2007-08-01T00:00:00.000,Charter,Arrival,International,1
2014-05-01T00:00:00.000,2007-08-01T00:00:00.000,Charter,Departure,Domestic,8
2014-05-01T00:00:00.000,2007-08-01T00:00:00.000,Commuter,Arrival,Domestic,5931
2014-05-01T00:00:00.000,2007-08-01T00:00:00.000,Commuter,Arrival,International,93
2014-05-01T00:00:00.000,2007-08-01T00:00:00.000,Commuter,Departure,Domestic,5931
2014-05-01T00:00:00.000,2007-08-01T00:00:00.000,Commuter,Departure,International,93
2014-05-01T00:00:00.000,2007-08-01T00:00:00.000,Scheduled,Arrival,Domestic,16310
2014-05-01T00:00:00.000,2007-08-01T00:00:00.000,Scheduled,Arrival,International,4735
2014-05-01T00:00:00.000,2007-08-01T00:00:00.000,Scheduled,Departure,Domestic,16468
2014-05-01T00:00:00.000,2007-08-01T00:00:00.000,Scheduled,Departure,International,4726
2014-05-01T00:00:00.000,2007-09-01T00:00:00.000,Charter,Arrival,Domestic,24
2014-05-01T00:00:00.000,2007-09-01T00:00:00.000,Charter,Arrival,International,3
2014-05-01T00:00:00.000,2007-09-01T00:00:00.000,Charter,Departure,Domestic,20
2014-05-01T00:00:00.000,2007-09-01T00:00:00.000,Commuter,Arrival,Domestic,5690
2014-05-01T00:00:00.000,2007-09-01T00:00:00.000,Commuter,Arrival,International,90
2014-05-01T00:00:00.000,2007-09-01T00:00:00.000,Commuter,Departure,Domestic,5690
2014-05-01T00:00:00.000,2007-09-01T00:00:00.000,Commuter,Departure,International,90
2014-05-01T00:00:00.000,2007-09-01T00:00:00.000,Scheduled,Arrival,Domestic,15056
2014-05-01T00:00:00.000,2007-09-01T00:00:00.000,Scheduled,Arrival,International,4146
2014-05-01T00:00:00.000,2007-09-01T00:00:00.000,Scheduled,Departure,Domestic,15186
2014-05-01T00:00:00.000,2007-09-01T00:00:00.000,Scheduled,Departure,International,4137
2014-05-01T00:00:00.000,2007-10-01T00:00:00.000,Charter,Arrival,Domestic,40
2014-05-01T00:00:00.000,2007-10-01T00:00:00.000,Charter,Arrival,International,1
2014-05-01T00:00:00.000,2007-10-01T00:00:00.000,Charter,Departure,Domestic,39
2014-05-01T00:00:00.000,2007-10-01T00:00:00.000,Charter,Departure,International,1
2014-05-01T00:00:00.000,2007-10-01T00:00:00.000,Commuter,Arrival,Domestic,6030
2014-05-01T00:00:00.000,2007-10-01T00:00:00.000,Commuter,Arrival,International,94
2014-05-01T00:00:00.000,2007-10-01T00:00:00.000,Commuter,Departure,Domestic,6030
2014-05-01T00:00:00.000,2007-10-01T00:00:00.000,Commuter,Departure,International,94
2014-05-01T00:00:00.000,2007-10-01T00:00:00.000,Scheduled,Arrival,Domestic,15646
2014-05-01T00:00:00.000,2007-10-01T00:00:00.000,Scheduled,Arrival,International,4070
2014-05-01T00:00:00.000,2007-10-01T00:00:00.000,Scheduled,Departure,Domestic,15737
2014-05-01T00:00:00.000,2007-10-01T00:00:00.000,Scheduled,Departure,International,4060
2014-05-01T00:00:00.000,2007-11-01T00:00:00.000,Charter,Arrival,Domestic,35
2014-05-01T00:00:00.000,2007-11-01T00:00:00.000,Charter,Arrival,International,3
2014-05-01T00:00:00.000,2007-11-01T00:00:00.000,Charter,Departure,Domestic,33
2014-05-01T00:00:00.000,2007-11-01T00:00:00.000,Charter,Departure,International,3
2014-05-01T00:00:00.000,2007-11-01T00:00:00.000,Commuter,Arrival,Domestic,5757
2014-05-01T00:00:00.000,2007-11-01T00:00:00.000,Commuter,Arrival,International,100
2014-05-01T00:00:00.000,2007-11-01T00:00:00.000,Commuter,Departure,Domestic,5757
2014-05-01T00:00:00.000,2007-11-01T00:00:00.000,Commuter,Departure,International,100
2014-05-01T00:00:00.000,2007-11-01T00:00:00.000,Scheduled,Arrival,Domestic,15163
2014-05-01T00:00:00.000,2007-11-01T00:00:00.000,Scheduled,Arrival,International,4004
2014-05-01T00:00:00.000,2007-11-01T00:00:00.000,Scheduled,Departure,Domestic,15246
2014-05-01T00:00:00.000,2007-11-01T00:00:00.000,Scheduled,Departure,International,3981
2014-05-01T00:00:00.000,2007-12-01T00:00:00.000,Charter,Arrival,Domestic,37
2014-05-01T00:00:00.000,2007-12-01T00:00:00.000,Charter,Arrival,International,2
2014-05-01T00:00:00.000,2007-12-01T00:00:00.000,Charter,Departure,Domestic,31
2014-05-01T00:00:00.000,2007-12-01T00:00:00.000,Charter,Departure,International,1
2014-05-01T00:00:00.000,2007-12-01T00:00:00.000,Commuter,Arrival,Domestic,5897
2014-05-01T00:00:00.000,2007-12-01T00:00:00.000,Commuter,Arrival,International,102
2014-05-01T00:00:00.000,2007-12-01T00:00:00.000,Commuter,Departure,Domestic,5897
2014-05-01T00:00:00.000,2007-12-01T00:00:00.000,Commuter,Departure,International,102
2014-05-01T00:00:00.000,2007-12-01T00:00:00.000,Scheduled,Arrival,Domestic,15517
2014-05-01T00:00:00.000,2007-12-01T00:00:00.000,Scheduled,Arrival,International,4475
2014-05-01T00:00:00.000,2007-12-01T00:00:00.000,Scheduled,Departure,Domestic,15619
2014-05-01T00:00:00.000,2007-12-01T00:00:00.000,Scheduled,Departure,International,4449
2014-05-01T00:00:00.000,2008-01-01T00:00:00.000,Charter,Arrival,Domestic,38
2014-05-01T00:00:00.000,2008-01-01T00:00:00.000,Charter,Arrival,International,8
2014-05-01T00:00:00.000,2008-01-01T00:00:00.000,Charter,Departure,Domestic,42
2014-05-01T00:00:00.000,2008-01-01T00:00:00.000,Charter,Departure,International,7
2014-05-01T00:00:00.000,2008-01-01T00:00:00.000,Commuter,Arrival,Domestic,5315
2014-05-01T00:00:00.000,2008-01-01T00:00:00.000,Commuter,Arrival,International,104
2014-05-01T00:00:00.000,2008-01-01T00:00:00.000,Commuter,Departure,Domestic,5315
2014-05-01T00:00:00.000,2008-01-01T00:00:00.000,Commuter,Departure,International,104
2014-05-01T00:00:00.000,2008-01-01T00:00:00.000,Scheduled,Arrival,Domestic,14879
2014-05-01T00:00:00.000,2008-01-01T00:00:00.000,Scheduled,Arrival,International,4295
2014-05-01T00:00:00.000,2008-01-01T00:00:00.000,Scheduled,Departure,Domestic,14939
