ReportingMonth,EntryExitanything,UpperLower,TOTAL VEHICLES,KeyValue
2015-04-01T00:00:00,Exit,Upper Level,794054,2015-04-01|Exit|Upper Level
2015-05-01T00:00:00,Entry,Lower Level,1201027,2015-05-01|Entry|Lower Level
2015-05-01T00:00:00,Entry,Upper Level,1350944,2015-05-01|Entry|Upper Level
2015-05-01T00:00:00,Exit,Lower Level,1900134,2015-05-01|Exit|Lower Level
2015-05-01T00:00:00,Exit,Upper Level,839150,2015-05-01|Exit|Upper Level
2015-06-01T00:00:00,Entry,Lower Level,1260351,2015-06-01|Entry|Lower Level
2015-06-01T00:00:00,Entry,Upper Level,1380207,2015-06-01|Entry|Upper Level
2015-06-01T00:00:00,Exit,Lower Level,1986391,2015-06-01|Exit|Lower Level
2015-06-01T00:00:00,Exit,Upper Level,823131,2015-06-01|Exit|Upper Level
2015-07-01T00:00:00,Entry,Lower Level,1269284,2015-07-01|Entry|Lower Level
2015-07-01T00:00:00,Entry,Upper Level,1380859,2015-07-01|Entry|Upper Level
2015-07-01T00:00:00,Exit,Lower Level,2080701,2015-07-01|Exit|Lower Level
2015-07-01T00:00:00,Exit,Upper Level,851802,2015-07-01|Exit|Upper Level
2015-08-01T00:00:00,Entry,Lower Level,1282776,2015-08-01|Entry|Lower Level
2015-08-01T00:00:00,Entry,Upper Level,1356856,2015-08-01|Entry|Upper Level
2015-08-01T00:00:00,Exit,Lower Level,2083527,2015-08-01|Exit|Lower Level
2015-08-01T00:00:00,Exit,Upper Level,852691,2015-08-01|Exit|Upper Level
2015-09-01T00:00:00,Entry,Lower Level,1101068,2015-09-01|Entry|Lower Level
2015-09-01T00:00:00,Entry,Upper Level,1245612,2015-09-01|Entry|Upper Level
2015-09-01T00:00:00,Exit,Lower Level,1814869,2015-09-01|Exit|Lower Level
2015-09-01T00:00:00,Exit,Upper Level,792668,2015-09-01|Exit|Upper Level
2015-10-01T00:00:00,Entry,Lower Level,1145961,2015-10-01|Entry|Lower Level
2015-10-01T00:00:00,Entry,Upper Level,1290106,2015-10-01|Entry|Upper Level
2015-10-01T00:00:00,Exit,Lower Level,1885118,2015-10-01|Exit|Lower Level
2015-10-01T00:00:00,Exit,Upper Level,829639,2015-10-01|Exit|Upper Level
2015-11-01T00:00:00,Entry,Lower Level,1119582,2015-11-01|Entry|Lower Level
2015-11-01T00:00:00,Entry,Upper Level,1249378,2015-11-01|Entry|Upper Level
2015-11-01T00:00:00,Exit,Lower Level,1860838,2015-11-01|Exit|Lower Level
2015-11-01T00:00:00,Exit,Upper Level,801073,2015-11-01|Exit|Upper Level
2015-12-01T00:00:00,Entry,Lower Level,1143548,2015-12-01|Entry|Lower Level
2015-12-01T00:00:00,Entry,Upper Level,1315644,2015-12-01|Entry|Upper Level
2015-12-01T00:00:00,Exit,Lower Level,1982433,2015-12-01|Exit|Lower Level
2015-12-01T00:00:00,Exit,Upper Level,839943,2015-12-01|Exit|Upper Level
2016-01-01T00:00:00,Entry,Lower Level,1040653,2016-01-01|Entry|Lower Level
2016-01-01T00:00:00,Entry,Upper Level,1300254,2016-01-01|Entry|Upper Level
2016-01-01T00:00:00,Exit,Lower Level,1881936,2016-01-01|Exit|Lower Level
2016-01-01T00:00:00,Exit,Upper Level,820796,2016-01-01|Exit|Upper Level
2016-02-01T00:00:00,Entry,Lower Level,1002266,2016-02-01|Entry|Lower Level
2016-02-01T00:00:00,Entry,Upper Level,1227432,2016-02-01|Entry|Upper Level
2016-02-01T00:00:00,Exit,Lower Level,1662707,2016-02-01|Exit|Lower Level
2016-02-01T00:00:00,Exit,Upper Level,789613,2016-02-01|Exit|Upper Level
2016-03-01T00:00:00,Entry,Lower Level,1227821,2016-03-01|Entry|Lower Level
2016-03-01T00:00:00,Entry,Upper Level,1425342,2016-03-01|Entry|Upper Level
2016-03-01T00:00:00,Exit,Lower Level,1946367,2016-03-01|Exit|Lower Level
2016-03-01T00:00:00,Exit,Upper Level,928073,2016-03-01|Exit|Upper Level
2016-04-01T00:00:00,Entry,Lower Level,1190465,2016-04-01|Entry|Lower Level
2016-04-01T00:00:00,Entry,Upper Level,1372699,2016-04-01|Entry|Upper Level
2016-04-01T00:00:00,Exit,Lower Level,1892099,2016-04-01|Exit|Lower Level
2016-04-01T00:00:00,Exit,Upper Level,891369,2016-04-01|Exit|Upper Level
2016-05-01T00:00:00,Entry,Lower Level,1327973,2016-05-01|Entry|Lower Level
2016-05-01T00:00:00,Entry,Upper Level,1504152,2016-05-01|Entry|Upper Level
2016-05-01T00:00:00,Exit,Lower Level,2070880,2016-05-01|Exit|Lower Level
2016-05-01T00:00:00,Exit,Upper Level,978836,2016-05-01|Exit|Upper Level
2016-06-01T00:00:00,Entry,Lower Level,1420990,2016-06-01|Entry|Lower Level
