DataSet,ID,LocationName,Terminal,TerminalLevel,LocationType,Campus,DataExportDateTime,Lat,Long
Defibrillator,Defib56458,Defibrillator,T6,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.942607170000002,-118.40293914999999
Defibrillator,Defib56459,Defibrillator,T7,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.941571539999998,-118.39934203999999
Defibrillator,Defib56460,Defibrillator,T6,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.942008510000001,-118.40223008
Defibrillator,Defib56461,Defibrillator,T7,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94207068,-118.3996412
Defibrillator,Defib56462,Defibrillator,T7,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.941300660000003,-118.39954213
Defibrillator,Defib56463,Defibrillator,T7,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.942861929999999,-118.39968494
Defibrillator,Defib56464,Defibrillator,T6,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.942578869999998,-118.40199979
Defibrillator,Defib56465,Defibrillator,T7,2,Defibrillator,LAX,2019-05-21T00:00:10.707,33.943034679999997,-118.40017786
Defibrillator,Defib56466,Defibrillator,T6,2,Defibrillator,LAX,2019-05-21T00:00:10.707,33.942751450000003,-118.40202739
Defibrillator,Defib56467,Defibrillator,T5,2,Defibrillator,LAX,2019-05-21T00:00:10.707,33.942443390000001,-118.40471608999999
Defibrillator,Defib56468,Defibrillator,T6,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.942682120000001,-118.40211456
